subjects,number_student,rooms,num_seat,day,section
10,22,7,22,0,0
1,31,5,31,0,0
14,37,2,37,0,0
0,39,1,39,0,0
6,40,3,41,0,0
19,21,0,21,0,1
21,21,6,21,0,1
23,20,7,22,0,1
16,31,5,31,0,1
36,34,4,34,0,1
11,36,2,37,0,1
4,39,3,41,0,1
25,20,0,21,0,2
28,20,6,21,0,2
20,31,5,31,0,2
3,33,4,34,0,2
24,36,2,37,0,2
2,38,1,39,0,2
12,38,3,41,0,2
9,33,4,34,0,3
35,36,2,37,0,3
37,38,1,39,0,3
17,35,3,41,0,3
13,33,4,34,1,0
29,35,2,37,1,0
39,35,3,41,1,0
30,31,5,31,1,1
26,33,2,37,1,1
27,33,1,39,1,1
8,28,5,31,1,2
22,32,4,34,1,2
34,32,2,37,1,2
18,28,1,39,1,2
38,28,3,41,1,2
5,27,5,31,1,3
7,27,4,34,1,3
15,26,1,39,1,3
31,24,3,41,1,3
32,23,5,31,2,0
33,23,1,39,2,0
