subjects,number_student,rooms,num_seat,day,section
0,25,7,25,0,0
7,32,6,32,0,0
21,33,5,33,0,0
8,35,0,35,0,0
16,40,2,49,0,0
6,31,6,32,0,1
36,33,5,33,0,1
13,34,0,35,0,1
29,40,3,47,0,1
35,40,2,49,0,1
15,23,1,23,0,2
25,25,7,25,0,2
9,31,6,32,0,2
22,31,5,33,0,2
17,34,0,35,0,2
3,38,3,47,0,2
4,38,4,48,0,2
32,38,2,49,0,2
19,23,1,23,0,3
2,24,7,25,0,3
26,31,6,32,0,3
12,29,5,33,0,3
39,34,0,35,0,3
1,37,3,47,0,3
34,37,4,48,0,3
20,36,2,49,0,3
14,29,6,32,1,0
10,28,5,33,1,0
11,27,0,35,1,0
23,27,4,48,1,0
24,23,1,23,1,1
33,24,7,25,1,1
27,26,6,32,1,1
31,23,5,33,1,1
38,23,0,35,1,1
18,22,3,47,1,1
28,22,4,48,1,1
30,22,2,49,1,1
37,22,7,25,1,2
5,21,6,32,1,2
