subjects,number_student,rooms,num_seat,day,section
11,22,5,22,0,0
5,23,0,23,0,0
18,28,3,28,0,0
1,33,1,33,0,0
6,40,6,43,0,0
12,40,7,45,0,0
30,39,2,49,0,0
4,21,5,22,0,1
33,28,3,28,0,1
27,33,1,33,0,1
35,33,4,33,0,1
15,38,7,45,0,1
25,38,2,49,0,1
7,21,5,22,0,2
14,23,0,23,0,2
24,27,3,28,0,2
2,32,1,33,0,2
32,32,4,33,0,2
31,38,6,43,0,2
39,38,2,49,0,2
26,23,0,23,0,3
9,26,3,28,0,3
10,31,1,33,0,3
22,31,4,33,0,3
19,37,6,43,0,3
29,37,2,49,0,3
38,23,0,23,1,0
13,30,1,33,1,0
28,29,4,33,1,0
8,36,6,43,1,0
17,36,2,49,1,0
37,26,3,28,1,1
36,29,1,33,1,1
0,25,4,33,1,1
23,36,6,43,1,1
3,35,7,45,1,1
20,34,2,49,1,1
16,24,3,28,1,2
21,34,6,43,1,2
34,34,2,49,1,2
