subjects,number_student,rooms,num_seat,day,section
0,28,0,29,0,0
31,30,1,30,0,0
17,32,4,32,0,0
27,39,5,40,0,0
30,39,6,48,0,0
10,21,7,21,0,1
20,28,2,28,0,1
23,28,0,29,0,1
24,28,1,30,0,1
21,32,4,32,0,1
5,38,5,40,0,1
36,38,6,48,0,1
15,21,7,21,0,2
4,26,3,26,0,2
39,28,2,28,0,2
6,27,1,30,0,2
29,32,4,32,0,2
12,37,5,40,0,2
25,37,6,48,0,2
11,26,3,26,0,3
26,27,2,28,0,3
19,26,0,29,0,3
38,26,1,30,0,3
1,31,4,32,0,3
3,36,5,40,0,3
7,35,6,48,0,3
2,25,3,26,1,0
32,25,0,29,1,0
9,24,1,30,1,0
18,31,4,32,1,0
35,35,6,48,1,0
28,24,3,26,1,1
14,23,2,28,1,1
13,22,0,29,1,1
37,31,4,32,1,1
8,34,6,48,1,1
33,22,3,26,1,2
22,34,5,40,1,2
16,33,6,48,1,2
34,33,5,40,1,3
