subjects,number_student,rooms,num_seat,day,section
33,23,10,23,0,0
20,24,0,24,0,0
27,32,4,32,0,0
37,32,7,32,0,0
7,38,1,38,0,0
4,40,13,41,0,0
10,40,9,45,0,0
15,40,14,47,0,0
5,21,6,21,0,1
46,23,10,23,0,1
26,24,0,24,0,1
6,29,2,29,0,1
42,32,4,32,0,1
11,31,7,32,0,1
18,31,12,32,0,1
21,36,3,36,0,1
28,38,1,38,0,1
29,40,5,40,0,1
60,38,11,44,0,1
0,37,9,45,0,1
40,21,6,21,0,2
59,23,10,23,0,2
52,24,0,24,0,2
31,29,2,29,0,2
44,31,4,32,0,2
65,31,7,32,0,2
23,30,12,32,0,2
30,36,3,36,0,2
3,37,1,38,0,2
9,37,5,40,0,2
12,37,13,41,0,2
51,37,11,44,0,2
38,36,9,45,0,2
43,36,14,47,0,2
49,36,15,48,0,2
61,23,10,23,0,3
66,24,0,24,0,3
8,27,2,29,0,3
41,30,4,32,0,3
13,27,7,32,0,3
17,27,12,32,0,3
34,35,3,36,0,3
54,35,8,37,0,3
14,34,1,38,0,3
32,34,5,40,0,3
39,34,13,41,0,3
55,34,11,44,0,3
1,33,9,45,0,3
35,33,14,47,0,3
45,33,15,48,0,3
62,23,0,24,1,0
63,27,2,29,1,0
36,26,4,32,1,0
53,33,3,36,1,0
56,33,8,37,1,0
67,33,13,41,1,0
68,33,11,44,1,0
58,26,14,47,1,0
64,26,15,48,1,0
57,21,6,21,1,1
69,23,0,24,1,1
19,25,2,29,1,1
47,25,4,32,1,1
22,22,7,32,1,1
48,22,12,32,1,1
2,20,1,38,1,1
16,20,5,40,1,1
24,20,13,41,1,1
25,20,11,44,1,1
50,20,9,45,1,1
