subjects,number_student,rooms,num_seat,day,section
9,22,6,22,0,0
2,25,11,25,0,0
8,26,0,26,0,0
12,34,2,34,0,0
3,39,10,39,0,0
13,40,7,50,0,0
20,21,8,21,0,1
21,22,6,22,0,1
33,25,11,25,0,1
59,26,3,27,0,1
54,24,9,27,0,1
32,30,4,30,0,1
15,39,10,39,0,1
31,40,5,44,0,1
53,40,1,50,0,1
35,21,8,21,0,2
41,22,6,22,0,2
57,24,11,25,0,2
4,23,0,26,0,2
19,23,3,27,0,2
36,23,9,27,0,2
55,30,4,30,0,2
11,33,2,34,0,2
28,39,10,39,0,2
29,39,5,44,0,2
38,39,1,50,0,2
18,38,7,50,0,2
49,22,6,22,0,3
39,23,11,25,0,3
50,23,0,26,0,3
5,20,3,27,0,3
14,20,9,27,0,3
1,29,4,30,0,3
37,33,2,34,0,3
24,38,10,39,0,3
30,38,5,44,0,3
0,37,1,50,0,3
6,37,7,50,0,3
25,20,6,22,1,0
46,20,11,25,1,0
47,20,3,27,1,0
22,29,4,30,1,0
44,33,2,34,1,0
23,37,10,39,1,0
34,37,5,44,1,0
45,37,1,50,1,0
58,20,8,21,1,1
7,28,4,30,1,1
56,33,2,34,1,1
10,36,5,44,1,1
16,36,1,50,1,1
42,36,7,50,1,1
17,28,4,30,1,2
48,36,10,39,1,2
43,35,5,44,1,2
26,32,7,50,1,2
40,28,4,30,1,3
51,32,10,39,1,3
27,31,5,44,1,3
52,28,1,50,1,3
