subjects,number_student,rooms,num_seat,day,section
2,20,6,20,0,0
4,22,9,22,0,0
19,29,15,29,0,0
6,32,3,32,0,0
8,33,11,33,0,0
42,36,10,36,0,0
41,37,4,37,0,0
3,38,1,38,0,0
26,40,18,42,0,0
45,40,2,43,0,0
53,40,16,43,0,0
54,40,14,46,0,0
16,20,6,20,0,1
15,22,9,22,0,1
5,23,7,23,0,1
25,26,5,26,0,1
24,29,13,29,0,1
31,31,0,31,0,1
12,32,3,32,0,1
9,33,11,33,0,1
44,36,10,36,0,1
51,37,4,37,0,1
40,38,1,38,0,1
59,40,12,41,0,1
63,40,2,43,0,1
67,40,16,43,0,1
88,40,14,46,0,1
101,40,19,46,0,1
43,20,6,20,0,2
28,22,9,22,0,2
11,23,7,23,0,2
65,24,17,24,0,2
61,26,5,26,0,2
33,29,13,29,0,2
64,29,15,29,0,2
32,31,0,31,0,2
17,32,3,32,0,2
10,33,11,33,0,2
46,36,10,36,0,2
58,37,4,37,0,2
98,38,1,38,0,2
113,40,8,40,0,2
162,40,12,41,0,2
173,40,18,42,0,2
38,39,2,43,0,2
47,39,16,43,0,2
68,39,14,46,0,2
86,39,19,46,0,2
108,20,6,20,0,3
14,23,7,23,0,3
69,24,17,24,0,3
84,26,5,26,0,3
80,29,13,29,0,3
89,29,15,29,0,3
71,31,0,31,0,3
23,33,11,33,0,3
52,36,10,36,0,3
66,37,4,37,0,3
118,38,1,38,0,3
124,39,8,40,0,3
143,39,12,41,0,3
152,39,18,42,0,3
171,39,2,43,0,3
176,39,16,43,0,3
191,39,14,46,0,3
198,39,19,46,0,3
110,20,6,20,1,0
75,23,7,23,1,0
73,24,17,24,1,0
92,26,5,26,1,0
82,32,3,32,1,0
93,36,10,36,1,0
96,37,4,37,1,0
179,38,1,38,1,0
97,37,8,40,1,0
100,37,12,41,1,0
111,37,18,42,1,0
129,37,2,43,1,0
139,37,16,43,1,0
99,36,14,46,1,0
135,20,6,20,1,1
81,24,17,24,1,1
112,29,13,29,1,1
150,31,0,31,1,1
102,36,10,36,1,1
125,36,4,37,1,1
132,36,1,38,1,1
189,36,8,40,1,1
30,35,18,42,1,1
39,35,2,43,1,1
49,35,16,43,1,1
77,35,14,46,1,1
141,35,19,46,1,1
83,22,9,22,1,2
104,23,7,23,1,2
130,24,17,24,1,2
170,29,13,29,1,2
178,29,15,29,1,2
157,31,0,31,1,2
87,32,3,32,1,2
34,33,11,33,1,2
161,35,4,37,1,2
165,35,1,38,1,2
174,35,8,40,1,2
177,35,12,41,1,2
181,35,18,42,1,2
18,34,16,43,1,2
37,34,14,46,1,2
50,34,19,46,1,2
117,22,9,22,1,3
128,23,7,23,1,3
180,24,17,24,1,3
133,26,5,26,1,3
194,29,13,29,1,3
0,28,15,29,1,3
160,31,0,31,1,3
74,33,11,33,1,3
70,34,10,36,1,3
76,34,1,38,1,3
79,34,8,40,1,3
127,34,12,41,1,3
138,34,18,42,1,3
155,34,2,43,1,3
158,34,16,43,1,3
186,34,14,46,1,3
94,33,19,46,1,3
7,28,15,29,2,0
103,33,10,36,2,0
121,33,4,37,2,0
126,33,1,38,2,0
131,33,8,40,2,0
164,33,18,42,2,0
182,33,2,43,2,0
199,33,16,43,2,0
91,32,14,46,2,0
109,32,19,46,2,0
140,23,17,24,2,1
146,26,5,26,2,1
20,28,13,29,2,1
29,28,15,29,2,1
115,32,3,32,2,1
168,32,11,33,2,1
166,31,10,36,2,1
169,31,4,37,2,1
188,31,1,38,2,1
196,31,12,41,2,1
1,30,18,42,2,1
22,30,2,43,2,1
48,30,16,43,2,1
106,30,19,46,2,1
163,22,9,22,2,2
147,23,7,23,2,2
56,28,13,29,2,2
60,28,15,29,2,2
114,30,0,31,2,2
123,30,3,32,2,2
145,30,11,33,2,2
149,30,10,36,2,2
167,30,4,37,2,2
172,30,1,38,2,2
183,30,8,40,2,2
192,30,12,41,2,2
90,28,18,42,2,2
107,28,2,43,2,2
120,28,16,43,2,2
134,28,14,46,2,2
175,22,9,22,2,3
151,23,7,23,2,3
154,23,17,24,2,3
153,26,5,26,2,3
184,28,13,29,2,3
62,27,15,29,2,3
78,27,0,31,2,3
95,27,3,32,2,3
105,27,11,33,2,3
116,27,10,36,2,3
136,27,4,37,2,3
148,27,1,38,2,3
13,25,8,40,2,3
21,25,12,41,2,3
27,25,18,42,2,3
57,25,2,43,2,3
72,25,16,43,2,3
85,25,14,46,2,3
122,25,19,46,2,3
193,22,9,22,3,0
159,23,7,23,3,0
35,21,17,24,3,0
137,25,5,26,3,0
156,25,15,29,3,0
195,25,3,32,3,0
36,21,10,36,3,0
55,21,1,38,3,0
119,21,8,40,3,0
142,21,16,43,3,0
144,21,14,46,3,0
185,21,19,46,3,0
187,21,9,22,3,1
190,21,7,23,3,1
197,21,17,24,3,1
