subjects,number_student,rooms,num_seat,day,section
16,38,6,39,0,0
34,40,8,47,0,0
1,26,7,30,0,1
14,24,8,47,0,1
44,38,3,38,1,0
10,35,3,38,1,1
12,29,7,30,1,2
33,28,7,30,1,3
24,20,6,39,2,0
39,29,1,38,2,0
40,24,7,30,2,0
43,37,8,47,2,0
29,32,1,38,3,0
46,20,9,44,3,2
18,33,6,39,3,3
0,39,8,47,4,1
7,35,6,39,4,1
36,20,0,29,4,1
2,20,3,38,4,2
38,27,6,39,4,2
25,31,1,38,4,3
15,21,4,29,5,0
41,33,8,47,5,1
37,32,6,39,5,2
3,35,6,39,5,3
26,29,0,29,5,3
5,37,3,38,6,3
31,35,3,38,7,0
8,40,9,44,7,1
48,29,0,29,7,1
20,22,9,44,7,2
11,28,7,30,8,0
13,39,6,39,8,0
30,21,2,27,8,1
19,35,9,44,8,3
27,27,2,27,9,1
45,26,6,39,9,2
21,27,6,39,9,3
22,27,7,30,10,0
32,30,6,39,10,0
28,21,6,39,10,2
35,29,4,29,10,3
9,38,1,38,11,1
17,29,3,38,11,1
42,22,0,29,11,2
4,31,1,38,11,3
6,36,3,38,11,3
23,23,0,29,11,3
49,35,8,47,12,0
47,21,9,44,12,1
