subjects,number_student,rooms,num_seat,day,section
7,27,3,49,0,0
19,37,9,49,0,0
1,31,9,49,0,1
12,27,6,28,0,2
15,35,4,38,0,2
40,32,8,33,0,3
25,33,1,34,1,0
4,27,3,49,1,1
3,29,9,49,1,3
36,24,8,33,2,0
28,26,4,38,2,1
44,36,9,49,2,1
32,38,5,48,2,2
35,29,4,38,2,2
13,21,3,49,2,3
31,35,4,38,2,3
34,28,8,33,2,3
10,29,8,33,3,0
43,36,3,49,3,0
14,28,8,33,3,1
37,24,9,49,3,1
42,29,5,48,3,1
22,38,9,49,3,3
30,31,3,49,3,3
18,22,6,28,4,0
2,26,4,38,4,3
16,29,0,30,4,3
26,40,5,48,4,3
46,31,9,49,4,3
48,40,3,49,4,3
6,27,4,38,5,0
8,39,5,48,5,0
5,38,9,49,5,2
20,34,1,34,5,2
24,31,8,33,5,3
45,24,4,38,5,3
49,38,3,49,5,3
27,32,9,49,6,0
41,21,5,48,6,0
17,20,3,49,6,1
23,26,0,30,6,1
29,31,2,32,6,1
21,39,5,48,6,2
0,29,8,33,7,1
33,28,5,48,7,1
38,24,9,49,7,1
47,36,4,38,7,1
39,36,9,49,7,2
9,30,0,30,7,3
11,30,8,33,7,3
