subjects,number_student,rooms,num_seat,day,section
56,28,7,28,0,0
1,30,1,30,0,0
12,30,12,30,0,0
78,31,5,31,0,0
79,31,13,31,0,0
37,33,8,33,0,0
8,34,9,34,0,0
5,36,0,37,0,0
3,38,4,38,0,0
27,38,18,38,0,0
0,39,11,44,0,0
22,39,3,49,0,0
16,20,6,20,0,1
18,24,2,24,0,1
15,30,1,30,0,1
17,30,12,30,0,1
43,30,5,31,0,1
46,30,13,31,0,1
49,34,9,34,0,1
6,35,15,35,0,1
7,36,19,36,0,1
19,36,0,37,0,1
35,38,4,38,0,1
48,38,14,38,0,1
54,38,17,38,0,1
70,39,16,42,0,1
71,38,3,49,0,1
40,36,10,49,0,1
45,20,6,20,0,2
32,24,2,24,0,2
62,28,7,28,0,2
74,30,12,30,0,2
23,29,5,31,0,2
28,29,13,31,0,2
55,33,8,33,0,2
36,35,15,35,0,2
52,35,19,36,0,2
61,35,0,37,0,2
53,34,4,38,0,2
67,34,14,38,0,2
72,33,17,38,0,2
76,33,18,38,0,2
10,32,11,44,0,2
20,32,3,49,0,2
33,32,10,49,0,2
47,24,2,24,0,3
65,28,7,28,0,3
57,29,1,30,0,3
58,29,12,30,0,3
66,29,5,31,0,3
73,28,13,31,0,3
41,32,8,33,0,3
13,27,9,34,0,3
24,27,15,35,0,3
34,27,19,36,0,3
51,27,0,37,0,3
11,26,4,38,0,3
30,26,14,38,0,3
50,26,18,38,0,3
64,26,16,42,0,3
75,26,11,44,0,3
31,25,3,49,0,3
38,25,10,49,0,3
59,24,2,24,1,0
77,25,5,31,1,0
68,24,13,31,1,0
14,23,8,33,1,0
26,23,15,35,1,0
42,23,19,36,1,0
4,22,0,37,1,0
9,22,4,38,1,0
39,22,14,38,1,0
44,22,18,38,1,0
60,22,11,44,1,0
69,22,3,49,1,0
2,21,10,49,1,0
21,21,7,28,1,1
25,21,1,30,1,1
29,21,12,30,1,1
63,21,5,31,1,1
