subjects,number_student,rooms,num_seat,day,section
0,25,5,25,0,0
33,25,9,25,0,0
6,30,15,30,0,0
54,32,4,32,0,0
31,36,6,36,0,0
24,39,13,39,0,0
13,40,7,40,0,0
17,40,8,41,0,0
38,40,3,48,0,0
8,24,1,24,0,1
47,25,5,25,0,1
48,25,9,25,0,1
46,30,15,30,0,1
59,31,11,31,0,1
63,30,4,32,0,1
36,36,6,36,0,1
35,39,13,39,0,1
69,40,7,40,0,1
58,39,8,41,0,1
25,38,14,43,0,1
41,38,3,48,0,1
37,24,1,24,0,2
60,25,5,25,0,2
50,23,9,25,0,2
7,26,12,26,0,2
66,30,15,30,0,2
68,30,11,31,0,2
4,29,4,32,0,2
11,35,0,35,0,2
42,36,6,36,0,2
19,37,2,38,0,2
44,37,13,39,0,2
61,36,7,40,0,2
65,36,8,41,0,2
28,35,3,48,0,2
43,35,10,49,0,2
52,23,1,24,0,3
57,22,5,25,0,3
23,26,12,26,0,3
5,29,15,30,0,3
15,29,11,31,0,3
32,29,4,32,0,3
62,35,0,35,0,3
64,35,6,36,0,3
67,35,2,38,0,3
10,34,13,39,0,3
18,34,7,40,0,3
30,34,8,41,0,3
40,34,14,43,0,3
53,34,3,48,0,3
1,33,10,49,0,3
49,21,1,24,1,0
51,21,5,25,1,0
16,20,9,25,1,0
45,29,11,31,1,0
2,33,0,35,1,0
9,33,13,39,1,0
34,33,7,40,1,0
12,28,8,41,1,0
27,28,3,48,1,0
55,28,10,49,1,0
20,20,1,24,1,1
21,20,5,25,1,1
56,20,9,25,1,1
3,27,15,30,1,1
14,27,11,31,1,1
22,27,4,32,1,1
26,27,0,35,1,1
39,27,6,36,1,1
29,26,2,38,1,1
