subjects,number_student,rooms,num_seat,day,section
17,34,7,34,0,0
2,24,2,24,0,1
1,22,3,22,0,1
7,40,6,45,0,1
4,33,7,34,0,1
23,37,0,37,0,2
15,33,1,35,0,2
20,22,3,22,0,2
35,30,5,31,0,2
21,33,7,34,0,2
33,37,0,37,0,3
0,29,1,35,0,3
25,22,3,22,0,3
6,39,4,40,0,3
9,39,6,45,0,3
12,36,0,37,1,0
34,29,5,31,1,0
10,39,4,40,1,1
29,36,0,37,1,2
11,28,1,35,1,2
22,24,2,24,1,2
36,22,3,22,1,2
13,27,4,40,1,2
37,27,5,31,1,2
5,26,7,34,1,2
14,26,1,35,1,3
26,21,3,22,1,3
18,25,4,40,1,3
28,25,5,31,1,3
31,25,6,45,1,3
24,24,7,34,1,3
32,24,2,24,2,0
8,23,6,45,2,0
16,23,7,34,2,0
27,23,0,37,2,2
3,20,1,35,2,2
19,20,2,24,2,2
30,20,4,40,2,2
38,20,6,45,2,2
39,20,0,37,2,3
