subjects,number_student,rooms,num_seat,day,section
33,24,16,24,0,0
14,25,15,25,0,0
17,25,18,25,0,0
2,28,1,28,0,0
5,31,19,31,0,0
7,34,6,34,0,0
12,34,13,34,0,0
11,35,12,35,0,0
30,36,7,36,0,0
6,37,5,37,0,0
8,38,11,38,0,0
38,40,10,41,0,0
73,40,2,42,0,0
82,40,17,43,0,0
95,40,4,48,0,0
104,40,8,50,0,0
46,24,16,24,0,1
41,25,0,25,0,1
42,25,3,25,0,1
65,25,18,25,0,1
16,34,6,34,0,1
77,34,13,34,0,1
15,35,12,35,0,1
37,36,9,36,0,1
119,40,14,42,0,1
126,40,17,43,0,1
140,40,4,48,0,1
194,40,8,50,0,1
53,24,16,24,0,2
68,25,0,25,0,2
92,25,3,25,0,2
137,25,18,25,0,2
28,31,19,31,0,2
103,34,6,34,0,2
22,35,12,35,0,2
52,36,7,36,0,2
55,36,9,36,0,2
32,37,5,37,0,2
19,38,11,38,0,2
4,39,10,41,0,2
56,39,2,42,0,2
59,39,14,42,0,2
84,39,17,43,0,2
101,39,4,48,0,2
102,39,8,50,0,2
71,24,16,24,0,3
89,24,0,25,0,3
109,24,3,25,0,3
118,24,15,25,0,3
122,24,18,25,0,3
47,28,1,28,0,3
93,31,19,31,0,3
120,34,6,34,0,3
1,33,13,34,0,3
67,36,7,36,0,3
70,36,9,36,0,3
49,37,5,37,0,3
48,38,11,38,0,3
50,38,14,42,0,3
83,38,17,43,0,3
86,38,4,48,0,3
100,38,8,50,0,3
123,24,15,25,1,0
151,24,18,25,1,0
110,31,19,31,1,0
24,33,6,34,1,0
34,35,12,35,1,0
94,36,7,36,1,0
114,36,9,36,1,0
69,37,5,37,1,0
81,37,2,42,1,0
113,37,17,43,1,0
171,37,4,48,1,0
141,36,8,50,1,0
160,24,15,25,1,1
181,24,18,25,1,1
79,28,1,28,1,1
117,31,19,31,1,1
39,33,6,34,1,1
62,33,13,34,1,1
44,35,12,35,1,1
146,36,7,36,1,1
187,36,9,36,1,1
75,35,11,38,1,1
130,35,10,41,1,1
133,35,14,42,1,1
143,35,4,48,1,1
144,35,8,50,1,1
26,23,0,25,1,2
29,23,3,25,1,2
36,23,18,25,1,2
112,28,1,28,1,2
125,31,19,31,1,2
66,33,6,34,1,2
80,33,13,34,1,2
159,35,12,35,1,2
185,35,7,36,1,2
193,35,9,36,1,2
150,33,5,37,1,2
162,33,11,38,1,2
168,33,10,41,1,2
175,33,2,42,1,2
0,32,14,42,1,2
31,32,17,43,1,2
40,32,4,48,1,2
58,32,8,50,1,2
108,23,16,24,1,3
124,23,0,25,1,3
135,23,3,25,1,3
179,23,15,25,1,3
182,23,18,25,1,3
138,28,1,28,1,3
129,31,19,31,1,3
61,32,6,34,1,3
64,32,13,34,1,3
99,32,12,35,1,3
121,32,7,36,1,3
139,32,5,37,1,3
156,32,11,38,1,3
177,32,10,41,1,3
178,32,2,42,1,3
186,32,17,43,1,3
161,31,4,48,1,3
166,31,8,50,1,3
192,23,16,24,2,0
195,23,3,25,2,0
3,22,15,25,2,0
172,31,19,31,2,0
188,31,6,34,2,0
189,31,13,34,2,0
197,31,12,35,2,0
10,30,7,36,2,0
25,30,5,37,2,0
63,30,11,38,2,0
90,30,10,41,2,0
91,30,2,42,2,0
127,30,8,50,2,0
23,22,16,24,2,1
76,22,0,25,2,1
85,22,3,25,2,1
87,22,15,25,2,1
111,22,18,25,2,1
142,28,1,28,2,1
136,30,19,31,2,1
148,30,6,34,2,1
149,30,12,35,2,1
153,30,9,36,2,1
173,30,11,38,2,1
196,30,10,41,2,1
9,29,2,42,2,1
13,29,14,42,2,1
18,29,4,48,2,1
20,29,8,50,2,1
134,22,16,24,2,2
164,22,0,25,2,2
176,22,3,25,2,2
184,22,15,25,2,2
78,21,18,25,2,2
174,28,1,28,2,2
35,29,19,31,2,2
43,29,6,34,2,2
74,29,13,34,2,2
107,29,12,35,2,2
132,29,9,36,2,2
154,29,5,37,2,2
180,28,11,38,2,2
191,28,10,41,2,2
198,28,2,42,2,2
54,27,14,42,2,2
60,27,17,43,2,2
72,27,4,48,2,2
96,27,8,50,2,2
97,21,16,24,2,3
116,21,0,25,2,3
128,21,15,25,2,3
145,21,18,25,2,3
105,27,1,28,2,3
106,27,19,31,2,3
115,27,13,34,2,3
165,27,12,35,2,3
167,27,7,36,2,3
169,27,5,37,2,3
183,27,11,38,2,3
190,27,10,41,2,3
199,27,2,42,2,3
21,26,14,42,2,3
57,26,17,43,2,3
88,26,4,48,2,3
98,26,8,50,2,3
147,21,16,24,3,0
27,20,3,25,3,0
45,20,18,25,3,0
131,26,1,28,3,0
152,26,13,34,3,0
163,26,12,35,3,0
170,26,7,36,3,0
51,20,11,38,3,0
155,20,2,42,3,0
157,20,17,43,3,0
158,20,0,25,3,1
